API_SP.URB.TOTL.IN.ZS_DS2_en_csv_v2_129596
Dominica,DMA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,71.7,72.006
Denmark,DNK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.367,88.495
Dominican Republic,DOM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,83.848,84.446
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.772,75.268
East Asia & Pacific (excluding high income),EAP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.2214841637791,60.0489417681404
Early-demographic dividend,EAR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.6251546023672,47.0741543243377
East Asia & Pacific,EAS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.2257312651105,62.9825402713403
Europe & Central Asia (excluding high income),ECA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,64.169725876266,64.3256308045369
Europe & Central Asia,ECS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.0396201290606,73.2834861739531
Ecuador,ECU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,64.57,64.792
"Egypt, Arab Rep.",EGY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.967,43.1
Euro area,EMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.7126830118197,77.9560411264664
Eritrea,ERI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.625,43.267
Spain,ESP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.304,81.552
Estonia,EST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.609,69.81
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.661,23.157
European Union,EUU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.4620574704142,75.7038805325455
Fragile and conflict affected situations,FCS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.401646495307,44.7685871271884
Finland,FIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.681,85.773
Fiji,FJI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.229,58.713
France,FRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.509,81.777
Faroe Islands,FRO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.779,42.987
"Micronesia, Fed. Sts.",FSM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.217,23.379
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,90.735,91.029
United Kingdom,GBR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,84.398,84.642
Georgia,GEO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.297,60.727
Ghana,GHA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.615,59.238
Gibraltar,GIB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.668,38.085
"Gambia, The",GMB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.852,64.472
Guinea-Bissau,GNB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.041,45.466
Equatorial Guinea,GNQ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.01,74.448
Greece,GRC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.357,80.673
Grenada,GRD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.868,37.059
Greenland,GRL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.727,87.94
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.666,53.098
Guam,GUM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,95.091,95.166
Guyana,GUY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.022,27.162
High income,HIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.941962138335,81.1614698861601
"Hong Kong SAR, China",HKG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
Honduras,HND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.6,60.212
Heavily indebted poor countries (HIPC),HPC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,38.0398695478936,38.5476985045553
Croatia,HRV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.219,58.575
Haiti,HTI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.82,59.656
Hungary,HUN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.552,72.864
IBRD only,IBD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.4051949405733,57.9586084947402
IDA & IBRD total,IBT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.3261779252217,52.8141913129966
IDA total,IDA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,38.9024403010933,39.4372870426606
IDA blend,IDB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.5056762549498,45.01184766814
Indonesia,IDN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.934,58.572
IDA only,IDX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.8907865413649,36.4509757079159
Isle of Man,IMN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.271,53.482
India,IND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.872,36.364
Not classified,INX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,,
Ireland,IRL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,64.183,64.466
"Iran, Islamic Rep.",IRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.807,77.257
Iraq,IRQ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,71.354,71.599
Iceland,ISL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,93.992,94.042
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.763,92.854
Italy,ITA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,71.657,71.973
Jamaica,JAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.008,57.378
Jordan,JOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.827,92.02
Japan,JPN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.955,92.043
Kazakhstan,KAZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.99,58.179
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,29.002,29.52
Kyrgyz Republic,KGZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.461,37.801
Cambodia,KHM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.114,25.57
Kiribati,KIR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.058,57.762
St. Kitts and Nevis,KNA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.991,31.096
"Korea, Rep.",KOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.427,81.456
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
Latin America & Caribbean (excluding high income),LAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.1442610510058,81.395321047644
Lao PDR,LAO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.592,38.247
Lebanon,LBN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.262,89.432
Liberia,LBR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.065,53.567
Libya,LBY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.302,81.606
St. Lucia,LCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,19.05,19.172
Latin America & Caribbean,LCN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.5649153564557,81.8012186793422
Least developed countries: UN classification,LDC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.8497135775292,36.4129698967495
Low income,LIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.1420380582929,37.6338833544081
Liechtenstein,LIE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.538,14.617
Sri Lanka,LKA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,19.026,19.211
Lower middle income,LMC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.4516375248882,40.977148439103
Low & middle income,LMY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.1006417998491,52.618040083163
Lesotho,LSO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,29.943,30.415
Late-demographic dividend,LTE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.6035316403987,66.3703549135626
Lithuania,LTU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.465,68.694
Luxembourg,LUX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.881,92.078
Latvia,LVA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.54,68.671
"Macao SAR, China",MAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
St. Martin (French part),MAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,,
Morocco,MAR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,64.596,65.121
Monaco,MCO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
Moldova,MDA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.173,43.373
Madagascar,MDG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,39.882,40.556
Maldives,MDV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,41.536,41.971
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.9664853093317,55.3450146500147
Mexico,MEX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.3,81.582
Marshall Islands,MHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.52,78.868
