Table 1
State,CollegeEducation__Value (Percent),CollegeEducation__People (Education: At Least Bachelor's Degree),"CrimeAgainstPropertyRate__Number of 
Participating
Agencies","CrimeAgainstPropertyRate__Population
Covered","CrimeAgainstPropertyRate__Total 
Offenses",CrimeAgainstPropertyRate__Arson,CrimeAgainstPropertyRate__Bribery,"CrimeAgainstPropertyRate__Burglary/
Breaking &
Entering","CrimeAgainstPropertyRate__Counterfeiting/
Forgery","CrimeAgainstPropertyRate__Destruction/
Damage/
Vandalism",CrimeAgainstPropertyRate__Embezzlement,"CrimeAgainstPropertyRate__Extortion/
Blackmail","CrimeAgainstPropertyRate__Fraud 
Offenses","CrimeAgainstPropertyRate__Larceny/
Theft
Offenses","CrimeAgainstPropertyRate__Motor
Vehicle
Theft",CrimeAgainstPropertyRate__Robbery,"CrimeAgainstPropertyRate__Stolen 
Property 
Offenses","CrimesAgainstPersons__Number of 
Participating
Agencies","CrimesAgainstPersons__Population
Covered","CrimesAgainstPersons__Total 
Offenses","CrimesAgainstPersons__Assault
Offenses","CrimesAgainstPersons__Homicide
Offenses","CrimesAgainstPersons__Human
Trafficking
Offenses","CrimesAgainstPersons__Kidnapping/
Abduction","CrimesAgainstPersons__Sex 
Offenses",NonHSGrad__Value (Percent) (Non High School Educated),NonHSGrad__People(Education: Less Than High School),RealMedianIncome__2024 (C-CPI-U Dollars),RealMedianIncome__Preceding Period ,RealMedianIncome__Year Ago,UnemploymentRate__2024,UnemploymentRate__2023,UnemploymentRate__2022,UrbanPopulation__Urban Population,UrbanPopulation__Population Percentage
Kentucky,27.0,830856,427,"4,524,497","110,661",326,77.0,"10,474","2,291","21,025","1,498",176,"7,070","49,697","12,949","1,787","3,291",452,"4,588,372","49,427","44,722",341,70.0,"1,052","3,242",11.5,352966,64790.0,63590.0,63590.0,5.1,4.3,4.3,2644856.0,58.7
Louisiana,26.6,825794,145,"3,423,421","117,000",265,16.0,"14,315","2,237","20,591","1,105",489,"6,621","58,315","8,636","1,350","3,060",151,"3,836,939","62,043","58,459",381,49.0,732,"2,422",13.1,407400,60740.0,59140.0,59140.0,4.4,3.7,3.7,3332237.0,71.5
Maine,35.3,359323,131,"1,395,722","24,943",154,7.0,"1,540",507,"5,220",33,59,"2,721","13,322","1,091",164,125,127,"1,394,909","12,583","11,582",54,4.0,32,911,5.5,56031,90730.0,77700.0,77700.0,3.1,2.6,2.6,526309.0,38.6
Maryland,42.7,1826045,134,"5,986,435","206,471",511,5.0,"11,145","2,535","43,553",560,640,"21,342","83,339","33,294","7,942","1,605",147,"6,233,437","85,353","80,458",490,76.0,181,"4,148",9.0,382701,109700.0,104600.0,104600.0,3.0,2.2,2.2,5288760.0,85.6
Massachusetts,46.6,2305899,386,"6,971,044","145,189",341,24.0,"9,157","3,305","28,265",427,883,"28,475","61,483","8,291","2,523","2,015",399,"7,117,646","75,183","70,445",145,32.0,556,"4,005",8.6,425209,113900.0,109300.0,109300.0,4.0,3.5,3.5,6416895.0,91.3
Michigan,31.8,2213104,595,"9,517,887","260,506","1,406",14.0,"19,934","3,248","49,350","2,004","1,070","40,125","105,428","27,597","3,687","6,643",601,"9,883,008","162,416","150,621",634,107.0,773,"10,281",8.1,564902,79460.0,78950.0,78950.0,4.7,3.9,3.9,7404258.0,73.5
Minnesota,38.8,1513374,406,"5,732,979","157,653",627,8.0,"10,426","3,403","28,330",259,433,"19,784","72,745","15,443","2,794","3,401",400,"5,788,088","49,623","44,203",229,93.0,583,"4,515",6.1,239636,92350.0,92680.0,92680.0,3.0,2.8,2.8,4101754.0,71.9
Mississippi,24.2,475997,156,"1,711,605","38,607",141,2.0,"4,602",735,"6,920",705,108,"3,794","17,638","2,789",332,841,156,"1,686,116","20,408","19,317",143,7.0,99,842,13.4,263266,55980.0,56490.0,56490.0,3.2,3.1,3.1,1370790.0,46.3
Missouri,31.9,1345230,505,"6,100,091","201,415","1,062",13.0,"15,100","4,228","44,037",709,205,"13,825","86,545","29,132","3,308","3,251",509,"6,133,318","90,460","84,657",558,48.0,906,"4,291",8.4,354732,78390.0,80310.0,80310.0,3.7,3.1,3.1,4275663.0,69.5
Montana,34.5,266066,111,"1,131,954","31,958",151,0.0,"1,943",600,"7,021",100,6,"1,905","17,509","2,159",273,291,110,"1,135,493","15,239","13,134",41,11.0,349,"1,704",5.4,41822,81920.0,81270.0,81270.0,3.0,2.7,2.7,579177.0,53.4
Nebraska,34.1,440234,247,"1,902,679","47,723",205,4.0,"2,372",784,"12,221",203,368,"5,783","20,375","4,677",349,382,250,"1,984,289","25,240","23,233",81,47.0,210,"1,669",7.9,102256,86140.0,91500.0,91500.0,2.8,2.3,2.3,1432003.0,73
Nevada,27.4,601393,58,"3,181,298","127,065",462,14.0,"12,848","1,556","24,188","1,430",307,"11,049","48,116","21,719","2,295","3,081",57,"3,260,346","62,811","58,497",214,215.0,735,"3,150",12.6,277389,80590.0,83410.0,83410.0,5.6,5.2,5.2,2921203.0,94.1
New Hampshire,39.8,401838,204,"1,361,616","24,936",95,8.0,708,635,"6,602",81,241,"4,719","10,293",770,219,565,215,"1,405,906","14,860","13,153",40,10.0,253,"1,404",5.9,59997,111800.0,101300.0,101300.0,2.6,2.3,2.3,803420.0,58.3
New Jersey,42.9,2771686,340,"6,291,305","150,952",246,5.0,"9,238","3,519","22,660",344,926,"21,534","74,484","13,152","3,199","1,645",370,"7,043,274","61,172","57,588",197,17.0,409,"2,961",9.3,600736,103500.0,93960.0,93960.0,4.5,4.3,4.3,8708779.0,93.8
New Mexico,30.2,438228,100,"1,885,968","99,183",325,43.0,"9,988",875,"25,850",815,275,"8,471","38,824","10,607","1,475","1,635",104,"1,934,760","44,007","40,553",253,40.0,"1,232","1,929",12.3,178146,64140.0,62560.0,62560.0,4.1,3.7,3.7,1578552.0,74.5
New York,39.6,5535503,183,"13,603,665","455,153","1,507",50.0,"23,022","11,851","97,523","1,499","1,805","14,989","235,644","32,027","18,944","16,292",194,"14,182,101","293,674","283,318",520,46.0,"1,355","8,435",12.1,1698537,86830.0,83710.0,83710.0,4.3,4.1,4.1,17665166.0,87.4
